design,scenario,level,fold,accuracy,measles_recall,measles_precision,coverage,caught_or_referred
3 v2 + refer if key fields unknown,combined,0.1,1,0.8626373626373627,0.9607843137254902,0.875,0.9479166666666666,0.9625
1 old (unknown looks like no),combined,0.2,1,0.646875,0.775,0.6595744680851063,1.0,0.775
2 v2 (unknown-aware),combined,0.2,1,0.721875,0.93125,0.6866359447004609,1.0,0.93125
3 v2 + refer if key fields unknown,combined,0.2,1,0.7368421052631579,0.9236641221374046,0.6875,0.8114583333333333,0.9375
1 old (unknown looks like no),combined,0.3,1,0.5197916666666667,0.575,0.5317919075144508,1.0,0.575
2 v2 (unknown-aware),combined,0.3,1,0.5947916666666667,0.83125,0.5683760683760684,1.0,0.83125
3 v2 + refer if key fields unknown,combined,0.3,1,0.6022727272727273,0.8461538461538461,0.5099337748344371,0.6416666666666667,0.9125
1 old (unknown looks like no),missing,0.0,2,0.9552083333333333,0.99375,1.0,1.0,0.99375
2 v2 (unknown-aware),missing,0.0,2,0.9541666666666667,0.99375,1.0,1.0,0.99375
3 v2 + refer if key fields unknown,missing,0.0,2,0.9541666666666667,0.99375,1.0,1.0,0.99375
1 old (unknown looks like no),missing,0.05,2,0.909375,0.96875,0.9567901234567902,1.0,0.96875
2 v2 (unknown-aware),missing,0.05,2,0.940625,0.98125,0.9936708860759493,1.0,0.98125
3 v2 + refer if key fields unknown,missing,0.05,2,0.9419831223628692,0.9811320754716981,0.9936305732484076,0.9875,0.98125
1 old (unknown looks like no),missing,0.1,2,0.8677083333333333,0.89375,0.9727891156462585,1.0,0.89375
2 v2 (unknown-aware),missing,0.1,2,0.925,0.975,0.9936305732484076,1.0,0.975
3 v2 + refer if key fields unknown,missing,0.1,2,0.9289617486338798,0.9736842105263158,0.9932885906040269,0.953125,0.975
1 old (unknown looks like no),missing,0.2,2,0.7833333333333333,0.78125,0.9259259259259259,1.0,0.78125
2 v2 (unknown-aware),missing,0.2,2,0.9135416666666667,0.975,0.9936305732484076,1.0,0.975
3 v2 + refer if key fields unknown,missing,0.2,2,0.9276485788113695,0.983739837398374,0.9918032786885246,0.80625,0.9875
1 old (unknown looks like no),missing,0.3,2,0.7010416666666667,0.6875,0.9090909090909091,1.0,0.6875
2 v2 (unknown-aware),missing,0.3,2,0.853125,0.9625,0.9746835443037974,1.0,0.9625
3 v2 + refer if key fields unknown,missing,0.3,2,0.8697749196141479,0.9702970297029703,0.98989898989899,0.6479166666666667,0.98125
1 old (unknown looks like no),combined,0.0,2,0.9552083333333333,0.99375,1.0,1.0,0.99375
2 v2 (unknown-aware),combined,0.0,2,0.9541666666666667,0.99375,1.0,1.0,0.99375
3 v2 + refer if key fields unknown,combined,0.0,2,0.9541666666666667,0.99375,1.0,1.0,0.99375
1 old (unknown looks like no),combined,0.05,2,0.89375,0.95625,0.9503105590062112,1.0,0.95625
